NP_006752.1	NM_006761.4	1433E_HUMAN	P62258-1
NP_001303238.1	NM_001316309.1	WDR97_HUMAN	A6NE52-1
NP_001263181.1	NM_001276252.1	WDTC1_HUMAN	Q8N5D0-1
XP_011539359.1	XM_011541057.1	WDTC1_HUMAN	Q8N5D0-1
NP_055838.2	NM_015023.4	WDTC1_HUMAN	Q8N5D0-4
NP_001139325.1	NM_001145853.1	WFS1_HUMAN	O76024-1
NP_005996.2	NM_006005.3	WFS1_HUMAN	O76024-1
NP_006513.1	NM_006522.3	WNT6_HUMAN	Q9Y6F9-1
NP_004618.2	NM_004627.4	WRB_HUMAN	O00258-1
NP_001139690.1	NM_001146218.1	WRB_HUMAN	O00258-2
NP_060288.3	NM_017818.3	WRP73_HUMAN	Q9P2S5-1
NP_056506.2	NM_015691.3	WWC3_HUMAN	Q9ULE0-1
NP_008944.1	NM_007013.3	WWP1_HUMAN	Q9H0M0-1
XP_005250817.1	XM_005250760.3	WWP1_HUMAN	Q9H0M0-1
NP_001161750.1	NM_001168278.2	WWTR1_HUMAN	Q9GZV5-1
NP_001161752.1	NM_001168280.2	WWTR1_HUMAN	Q9GZV5-1
NP_001335291.1	NM_001348362.1	WWTR1_HUMAN	Q9GZV5-1
NP_056287.1	NM_015472.5	WWTR1_HUMAN	Q9GZV5-1
XP_016861611.1	XM_017006122.1	WWTR1_HUMAN	Q9GZV5-1
NP_570133.1	NM_130777.2	XAGE2_HUMAN	Q96GT9-1
XP_011529138.1	XM_011530836.2	XAGE2_HUMAN	Q96GT9-1
NP_003166.1	NM_003175.3	XCL2_HUMAN	Q9UBD3-1
NP_997724.2	NM_212559.2	XKR2_HUMAN	Q6PP77-1
XP_005262187.1	XM_005262130.2	XKR2_HUMAN	Q6PP77-2
XP_016885006.1	XM_017029517.1	XKR2_HUMAN	Q6PP77-2
NP_060523.2	NM_018053.3	XKR8_HUMAN	Q9H6D3-1
NP_004668.2	NM_004677.2	XKRY_HUMAN	O14609-1
NP_005227.1	NM_005236.2	XPF_HUMAN	Q92889-1
NP_003391.1	NM_003400.3	XPO1_HUMAN	O14980-1
XP_006712157.1	XM_006712094.2	XPO1_HUMAN	O14980-1
XP_011531399.1	XM_011533097.1	XPO1_HUMAN	O14980-1
NP_055986.1	NM_015171.3	XPO6_HUMAN	Q96QU8-1
NP_001257869.1	NM_001270940.1	XPO6_HUMAN	Q96QU8-2
NP_071381.1	NM_022098.3	XPP3_HUMAN	Q9NQH7-1
NP_443107.1	NM_052875.4	VP26B_HUMAN	Q4G0F5-1
NP_036595.2	NM_012463.3	VPP2_HUMAN	Q9Y487-1
NP_072097.2	NM_022575.3	VPS16_HUMAN	Q9H269-1
NP_536338.1	NM_080413.2	VPS16_HUMAN	Q9H269-2
NP_001266283.1	NM_001279354.1	VPS45_HUMAN	Q9NRW7-1
NP_009190.2	NM_007259.4	VPS45_HUMAN	Q9NRW7-1
NP_001266282.1	NM_001279353.1	VPS45_HUMAN	Q9NRW7-2
NP_057600.2	NM_016516.2	VPS54_HUMAN	Q9P1Q0-1
NP_001005739.1	NM_001005739.1	VPS54_HUMAN	Q9P1Q0-4
NP_079479.1	NM_025203.2	WDCP_HUMAN	Q9H6R7-1
NP_001135791.1	NM_001142319.1	WDCP_HUMAN	Q9H6R7-2
NP_060726.3	NM_018256.3	WDR12_HUMAN	Q9GZL7-1
NP_054742.2	NM_014023.3	WDR37_HUMAN	Q9Y2I8-1
NP_001332835.1	NM_001345906.1	WDR53_HUMAN	Q7Z5U6-1
NP_001332836.1	NM_001345907.1	WDR53_HUMAN	Q7Z5U6-1
NP_001332837.1	NM_001345908.1	WDR53_HUMAN	Q7Z5U6-1
NP_001332838.1	NM_001345909.1	WDR53_HUMAN	Q7Z5U6-1
NP_001332839.1	NM_001345910.1	WDR53_HUMAN	Q7Z5U6-1
NP_872433.1	NM_182627.2	WDR53_HUMAN	Q7Z5U6-1
NP_001307475.1	NM_001320546.1	WDR6_HUMAN	Q9NNW5-1
NP_001307476.1	NM_001320547.1	WDR6_HUMAN	Q9NNW5-1
NP_060501.3	NM_018031.4	WDR6_HUMAN	Q9NNW5-1
NP_060504.1	NM_018034.3	WDR70_HUMAN	Q9NW82-1
NP_877435.3	NM_182758.3	WDR72_HUMAN	Q3MJ13-1
XP_011519735.1	XM_011521433.2	WDR72_HUMAN	Q3MJ13-1
XP_011519737.1	XM_011521435.2	WDR72_HUMAN	Q3MJ13-1
XP_016877550.1	XM_017022061.1	WDR72_HUMAN	Q3MJ13-1
NP_060563.2	NM_018093.3	WDR74_HUMAN	Q6RFH5-1
XP_005274112.1	XM_005274055.2	WDR74_HUMAN	Q6RFH5-1
NP_001294906.1	NM_001307977.1	WDR74_HUMAN	Q6RFH5-2
NP_054868.3	NM_014149.3	WDR91_HUMAN	A4D1P6-1
NP_001271325.1	NM_001284396.1	WDR93_HUMAN	Q6P2C0-1
NP_064597.1	NM_020212.1	WDR93_HUMAN	Q6P2C0-1
NP_001271324.1	NM_001284395.1	WDR93_HUMAN	Q6P2C0-2
NP_001307701.1	NM_001320772.1	WIPI1_HUMAN	Q5MNZ9-1
NP_060453.3	NM_017983.6	WIPI1_HUMAN	Q5MNZ9-1
NP_062559.2	NM_019613.3	WIPI3_HUMAN	Q5MNZ6-1
NP_003382.1	NM_003391.2	WNT2_HUMAN	P09544-1
NP_003384.2	NM_003393.3	WNT8B_HUMAN	Q93098-1
NP_003387.1	NM_003396.2	WNT9B_HUMAN	O14905-1
NP_001278926.1	NM_001291997.1	WWOX_HUMAN	Q9NZC7-1
NP_057457.1	NM_016373.3	WWOX_HUMAN	Q9NZC7-1
NP_570607.1	NM_130791.3	WWOX_HUMAN	Q9NZC7-3
NP_001019815.1	NM_001024644.1	XCR1_HUMAN	P46094-1
NP_005274.1	NM_005283.2	XCR1_HUMAN	P46094-1
XP_016861685.1	XM_017006196.1	XCR1_HUMAN	P46094-1
XP_016861686.1	XM_017006197.1	XCR1_HUMAN	P46094-1
XP_016861687.1	XM_017006198.1	XCR1_HUMAN	P46094-1
XP_016861688.1	XM_017006199.1	XCR1_HUMAN	P46094-1
XP_016861689.1	XM_017006200.1	XCR1_HUMAN	P46094-1
XP_016861690.1	XM_017006201.1	XCR1_HUMAN	P46094-1
NP_000370.2	NM_000379.3	XDH_HUMAN	P47989-1
NP_443130.1	NM_052898.1	XKR4_HUMAN	Q5GH76-1
NP_775954.2	NM_173683.3	XKR6_HUMAN	Q5GH73-1
NP_000371.1	NM_000380.3	XPA_HUMAN	P23025-1
NP_689744.3	NM_152531.4	XXLT1_HUMAN	Q8NBI6-1
XP_016861239.1	XM_017005750.1	XXLT1_HUMAN	Q8NBI6-2
NP_005099.2	NM_005108.3	XYLB_HUMAN	O75191-1
NP_001257383.1	NM_001270454.1	WWP2_HUMAN	O00308-1
NP_008945.2	NM_007014.4	WWP2_HUMAN	O00308-1
XP_011521125.1	XM_011522823.2	WWP2_HUMAN	O00308-1
XP_011521127.1	XM_011522825.1	WWP2_HUMAN	O00308-1
XP_016878368.1	XM_017022879.1	WWP2_HUMAN	O00308-1
XP_016878369.1	XM_017022880.1	WWP2_HUMAN	O00308-1
XP_016878370.1	XM_017022881.1	WWP2_HUMAN	O00308-1
NP_955456.1	NM_199424.2	WWP2_HUMAN	O00308-3
NP_001257382.1	NM_001270453.1	WWP2_HUMAN	O00308-2
XP_011521128.1	XM_011522826.2	WWP2_HUMAN	O00308-2
NP_001257384.1	NM_001270455.1	WWP2_HUMAN	O00308-4
NP_059993.2	NM_017523.3	XAF1_HUMAN	Q6GPH4-1
NP_954590.1	NM_199139.2	XAF1_HUMAN	Q6GPH4-2
XP_005256765.1	XM_005256708.2	XAF1_HUMAN	Q6GPH4-6
NP_004727.2	NM_004736.3	XPR1_HUMAN	Q9UBH6-1
NP_001129141.1	NM_001135669.1	XPR1_HUMAN	Q9UBH6-2
NP_055127.2	NM_014312.4	VSIG2_HUMAN	Q96IQ7-1
NP_001316849.1	NM_001329920.1	VSIG2_HUMAN	Q96IQ7-2
NP_001138343.1	NM_001144871.1	VSTM5_HUMAN	A8MXK1-1
NP_055946.1	NM_015131.2	WDR43_HUMAN	Q15061-1
NP_001157739.1	NM_001164267.1	WDR46_HUMAN	O15213-1
NP_005443.3	NM_005452.5	WDR46_HUMAN	O15213-1
NP_001333156.1	NM_001346227.1	WDR48_HUMAN	Q8TAF3-1
NP_001333157.1	NM_001346228.1	WDR48_HUMAN	Q8TAF3-1
NP_065890.1	NM_020839.3	WDR48_HUMAN	Q8TAF3-1
NP_001290332.1	NM_001303403.1	WDR48_HUMAN	Q8TAF3-3
NP_001290331.1	NM_001303402.1	WDR48_HUMAN	Q8TAF3-4
NP_001307752.1	NM_001320823.1	WDR54_HUMAN	Q9H977-1
NP_001307753.1	NM_001320824.1	WDR54_HUMAN	Q9H977-1
NP_001307754.1	NM_001320825.1	WDR54_HUMAN	Q9H977-1
NP_115494.1	NM_032118.3	WDR54_HUMAN	Q9H977-1
NP_060176.2	NM_017706.4	WDR55_HUMAN	Q9H6Y2-1
XP_005268526.1	XM_005268469.2	WDR55_HUMAN	Q9H6Y2-1
NP_061942.2	NM_019069.3	WDR5B_HUMAN	Q86VZ2-1
NP_060058.1	NM_017588.2	WDR5_HUMAN	P61964-1
NP_438172.1	NM_052821.3	WDR5_HUMAN	P61964-1
XP_005272220.1	XM_005272163.1	WDR5_HUMAN	P61964-1
NP_003871.1	NM_003880.3	WISP3_HUMAN	O95389-1
XP_011534522.1	XM_011536220.1	WISP3_HUMAN	O95389-1
NP_937882.1	NM_198239.1	WISP3_HUMAN	O95389-2
NP_003385.2	NM_003394.3	WN10B_HUMAN	O00744-1
NP_115763.2	NM_032387.4	WNK4_HUMAN	Q96J92-1
NP_057171.2	NM_016087.2	WNT16_HUMAN	Q9UBV4-1
NP_476509.1	NM_057168.1	WNT16_HUMAN	Q9UBV4-1
NP_005421.1	NM_005430.3	WNT1_HUMAN	P04628-1
NP_110388.2	NM_030761.4	WNT4_HUMAN	P56705-1
XP_011539900.1	XM_011541598.2	WNT4_HUMAN	P56705-2
NP_000544.2	NM_000553.4	WRN_HUMAN	Q14191-1
NP_001121684.1	NM_001128212.2	WSDU1_HUMAN	Q8N9V3-1
NP_001294923.1	NM_001307994.1	WSDU1_HUMAN	Q8N9V3-1
NP_689741.2	NM_152528.2	WSDU1_HUMAN	Q8N9V3-1
XP_016885236.1	XM_017029747.1	XAGE1_HUMAN	Q9HD64-1
XP_016885238.1	XM_017029749.1	XAGE1_HUMAN	Q9HD64-1
NP_001091063.2	NM_001097594.2	XAGE1_HUMAN	Q9HD64-2
NP_001091073.2	NM_001097604.2	XAGE1_HUMAN	Q9HD64-2
NP_001091065.1	NM_001097596.2	XAGE1_HUMAN	Q9HD64-4
NP_001091074.1	NM_001097605.2	XAGE1_HUMAN	Q9HD64-4
NP_005071.2	NM_005080.3	XBP1_HUMAN	P17861-1
NP_001073007.1	NM_001079539.1	XBP1_HUMAN	P17861-2
NP_060257.4	NM_017787.4	WBP1L_HUMAN	Q9NX94-1
NP_001077382.1	NM_001083913.1	WBP1L_HUMAN	Q9NX94-2
NP_001304853.1	NM_001317924.1	WDR19_HUMAN	Q8NEZ3-1
NP_079408.3	NM_025132.3	WDR19_HUMAN	Q8NEZ3-1
NP_001154948.1	NM_001161476.1	WDR25_HUMAN	Q64LD2-1
NP_078791.3	NM_024515.4	WDR25_HUMAN	Q64LD2-1
XP_005268113.1	XM_005268056.4	WDR25_HUMAN	Q64LD2-1
XP_011535452.1	XM_011537150.2	WDR25_HUMAN	Q64LD2-1
NP_079436.4	NM_025160.6	WDR26_HUMAN	Q9H7D7-1
NP_001108585.2	NM_001115113.2	WDR26_HUMAN	Q9H7D7-2
NP_001012361.1	NM_001012361.3	WDR31_HUMAN	Q8NA23-1
NP_660284.1	NM_145241.4	WDR31_HUMAN	Q8NA23-2
NP_001006658.1	NM_001006657.1	WDR35_HUMAN	Q9P2L0-1
NP_065830.2	NM_020779.3	WDR35_HUMAN	Q9P2L0-2
NP_001038941.1	NM_001045476.2	WDR38_HUMAN	Q5JTN6-1
NP_775907.4	NM_173636.4	WDR62_HUMAN	O43379-1
NP_001077430.1	NM_001083961.1	WDR62_HUMAN	O43379-4
XP_016882154.1	XM_017026665.1	WDR62_HUMAN	O43379-4
NP_003381.1	NM_003390.3	WEE1_HUMAN	P30291-1
NP_001137448.1	NM_001143976.1	WEE1_HUMAN	P30291-2
NP_001099028.1	NM_001105558.1	WEE2_HUMAN	P0C1S8-1
NP_742002.1	NM_172005.1	WFD13_HUMAN	Q8IUB5-1
NP_444514.1	NM_053284.2	WFKN1_HUMAN	Q96NZ8-1
NP_001073904.1	NM_001080435.2	WHAMM_HUMAN	Q8TF30-1
NP_003383.2	NM_003392.4	WNT5A_HUMAN	P41221-1
NP_001243034.1	NM_001256105.1	WNT5A_HUMAN	P41221-2
XP_006713387.1	XM_006713324.1	WNT5A_HUMAN	P41221-2
XP_011532387.1	XM_011534085.2	WNT5A_HUMAN	P41221-2
XP_011532388.1	XM_011534086.2	WNT5A_HUMAN	P41221-2
XP_011532389.1	XM_011534087.2	WNT5A_HUMAN	P41221-2
XP_011532390.1	XM_011534088.2	WNT5A_HUMAN	P41221-2
XP_011532391.1	XM_011534089.1	WNT5A_HUMAN	P41221-2
XP_016862617.1	XM_017007128.1	WNT5A_HUMAN	P41221-2
NP_004616.2	NM_004625.3	WNT7A_HUMAN	O00755-1
NP_003386.1	NM_003395.2	WNT9A_HUMAN	O14904-1
NP_079225.5	NM_024949.5	WWC2_HUMAN	Q6AWC2-1
XP_011530571.1	XM_011532269.2	WWC2_HUMAN	Q6AWC2-6
NP_780778.1	NM_175569.2	XG_HUMAN	P55808-1
NP_001135391.1	NM_001141919.1	XG_HUMAN	P55808-3
NP_001135392.1	NM_001141920.1	XG_HUMAN	P55808-2
NP_919269.2	NM_194293.2	XIRP1_HUMAN	Q702N8-1
XP_005264966.1	XM_005264909.3	XIRP1_HUMAN	Q702N8-1
NP_001185550.1	NM_001198621.2	XIRP1_HUMAN	Q702N8-2
NP_689594.4	NM_152381.5	XIRP2_HUMAN	A4UGR9-8
NP_001186073.1	NM_001199144.1	XIRP2_HUMAN	A4UGR9-2
NP_001073278.1	NM_001079810.3	XIRP2_HUMAN	A4UGR9-4
NP_001186074.1	NM_001199145.1	XIRP2_HUMAN	A4UGR9-7
NP_001186072.1	NM_001199143.1	XIRP2_HUMAN	A4UGR9-6
NP_071904.4	NM_022459.4	XPO4_HUMAN	Q9C0E2-1
NP_001311061.1	NM_001324132.1	XPP1_HUMAN	Q9NQW7-1
NP_065116.3	NM_020383.3	XPP1_HUMAN	Q9NQW7-3
NP_001161076.1	NM_001167604.1	XPP1_HUMAN	Q9NQW7-4
NP_001162578.1	NM_001169107.1	WAC2C_HUMAN	Q9Y4E1-5
NP_056077.2	NM_015262.2	WAC2C_HUMAN	Q9Y4E1-4
NP_001162577.1	NM_001169106.1	WAC2C_HUMAN	Q9Y4E1-6
NP_001305257.1	NM_001318328.1	WAPL_HUMAN	Q7Z5K2-1
NP_055860.1	NM_015045.3	WAPL_HUMAN	Q7Z5K2-1
NP_000368.1	NM_000377.2	WASP_HUMAN	P42768-1
NP_002987.1	NM_002996.4	X3CL1_HUMAN	P78423-1
NP_570132.1	NM_130776.1	XAGE3_HUMAN	Q8WTP9-1
NP_573440.1	NM_133179.2	XAGE3_HUMAN	Q8WTP9-1
XP_011529070.1	XM_011530768.2	XAGE3_HUMAN	Q8WTP9-1
XP_011529071.1	XM_011530769.2	XAGE3_HUMAN	Q8WTP9-1
XP_011529072.1	XM_011530770.2	XAGE3_HUMAN	Q8WTP9-1
NP_002986.1	NM_002995.2	XCL1_HUMAN	P47992-1
XP_011508167.1	XM_011509865.2	XCL1_HUMAN	P47992-1
NP_001158.2	NM_001167.3	XIAP_HUMAN	P98170-1
NP_001191330.1	NM_001204401.1	XIAP_HUMAN	P98170-1
XP_006724817.1	XM_006724754.2	XIAP_HUMAN	P98170-1
XP_011529631.1	XM_011531329.2	XIAP_HUMAN	P98170-1
NP_001011720.1	NM_001011720.1	XKR9_HUMAN	Q5GH70-1
NP_001274187.1	NM_001287258.1	XKR9_HUMAN	Q5GH70-1
NP_001274188.1	NM_001287259.1	XKR9_HUMAN	Q5GH70-1
NP_001274189.1	NM_001287260.1	XKR9_HUMAN	Q5GH70-1
XP_011515826.1	XM_011517524.2	XKR9_HUMAN	Q5GH70-1
XP_011515827.1	XM_011517525.2	XKR9_HUMAN	Q5GH70-1
XP_016868893.1	XM_017013404.1	XKR9_HUMAN	Q5GH70-1
NP_000321.1	NM_000330.3	XLRS1_HUMAN	O15537-1
NP_004619.3	NM_004628.4	XPC_HUMAN	Q01831-1
NP_003390.4	NM_003399.5	XPP2_HUMAN	O43895-1
NP_071449.1	NM_022166.3	XYLT1_HUMAN	Q86Y38-1
NP_071450.2	NM_022167.3	XYLT2_HUMAN	Q9H1B5-1
NP_061874.3	NM_019001.4	XRN1_HUMAN	Q8IZH2-1
NP_001269788.1	NM_001282859.1	XRN1_HUMAN	Q8IZH2-3
NP_001269786.1	NM_001282857.1	XRN1_HUMAN	Q8IZH2-2
NP_008846.2	NM_006915.2	XRP2_HUMAN	O75695-1
NP_001269418.1	NM_001282489.2	USH1G_HUMAN	Q495M9-1
NP_775748.2	NM_173477.4	USH1G_HUMAN	Q495M9-1
NP_009054.5	NM_007123.5	USH2A_HUMAN	O75445-1
NP_996816.2	NM_206933.2	USH2A_HUMAN	O75445-1
NP_001193355.1	NM_001206426.1	USMG5_HUMAN	Q96IX5-1
NP_001193356.1	NM_001206427.1	USMG5_HUMAN	Q96IX5-1
NP_116136.1	NM_032747.3	USMG5_HUMAN	Q96IX5-1
NP_001034680.2	NM_001039591.2	USP9X_HUMAN	Q93008-1
NP_001034679.2	NM_001039590.2	USP9X_HUMAN	Q93008-3
NP_006777.1	NM_006786.3	UTS2_HUMAN	O95399-1
XP_011538840.1	XM_011540538.1	UTS2_HUMAN	O95399-1
NP_068835.1	NM_021995.2	UTS2_HUMAN	O95399-2
XP_011538839.1	XM_011540537.2	UTS2_HUMAN	O95399-2
NP_009056.3	NM_007125.4	UTY_HUMAN	O14607-1
NP_872600.1	NM_182659.1	UTY_HUMAN	O14607-3
NP_872601.1	NM_182660.1	UTY_HUMAN	O14607-2
NP_001245183.1	NM_001258254.1	UTY_HUMAN	O14607-5
NP_001245181.1	NM_001258252.1	UTY_HUMAN	O14607-4
NP_001304863.1	NM_001317934.1	UVSSA_HUMAN	Q2YD98-1
NP_001304864.1	NM_001317935.1	UVSSA_HUMAN	Q2YD98-1
NP_065945.2	NM_020894.3	UVSSA_HUMAN	Q2YD98-1
XP_016863979.1	XM_017008490.1	UVSSA_HUMAN	Q2YD98-1
XP_016863980.1	XM_017008491.1	UVSSA_HUMAN	Q2YD98-1
XP_016863981.1	XM_017008492.1	UVSSA_HUMAN	Q2YD98-1
XP_016863982.1	XM_017008493.1	UVSSA_HUMAN	Q2YD98-1
XP_016863983.1	XM_017008494.1	UVSSA_HUMAN	Q2YD98-1
NP_055047.2	NM_014232.2	VAMP2_HUMAN	P63027-1
NP_004772.1	NM_004781.3	VAMP3_HUMAN	Q15836-1
NP_003753.2	NM_003762.4	VAMP4_HUMAN	O75379-1
NP_001172056.1	NM_001185127.1	VAMP4_HUMAN	O75379-2
NP_004222.2	NM_004231.3	VATF_HUMAN	Q16864-1
NP_001185838.1	NM_001198909.1	VATF_HUMAN	Q16864-2
NP_004038.1	NM_004047.4	VATO_HUMAN	Q99437-1
NP_001034546.1	NM_001039457.2	VATO_HUMAN	Q99437-2
NP_001127870.1	NM_001134398.1	VAV2_HUMAN	P52735-1
NP_003362.2	NM_003371.3	VAV2_HUMAN	P52735-3
XP_005272270.1	XM_005272213.1	VAV2_HUMAN	P52735-2
NP_000367.1	NM_000376.2	VDR_HUMAN	P11473-1
NP_001017535.1	NM_001017535.1	VDR_HUMAN	P11473-1
XP_006719650.1	XM_006719587.3	VDR_HUMAN	P11473-1
XP_011537022.1	XM_011538720.2	VDR_HUMAN	P11473-1
NP_001017536.1	NM_001017536.1	VDR_HUMAN	P11473-2
NP_002011.2	NM_002020.4	VGFR3_HUMAN	P35916-1
NP_891555.2	NM_182925.4	VGFR3_HUMAN	P35916-2
NP_004612.2	NM_004621.5	TRPC6_HUMAN	Q9Y210-1
XP_016873710.1	XM_017018221.1	TRPC6_HUMAN	Q9Y210-2
XP_016870631.1	XM_017015142.1	TRPM3_HUMAN	Q9HCF6-11
XP_011517349.1	XM_011519047.2	TRPM3_HUMAN	Q9HCF6-10
NP_996831.1	NM_206948.2	TRPM3_HUMAN	Q9HCF6-12
XP_011517340.1	XM_011519038.2	TRPM3_HUMAN	Q9HCF6-1
XP_011517343.1	XM_011519041.2	TRPM3_HUMAN	Q9HCF6-3
NP_001007472.2	NM_001007471.2	TRPM3_HUMAN	Q9HCF6-2
XP_011517346.1	XM_011519044.2	TRPM3_HUMAN	Q9HCF6-5
XP_011517348.1	XM_011519046.2	TRPM3_HUMAN	Q9HCF6-4
XP_011517341.1	XM_011519039.2	TRPM3_HUMAN	Q9HCF6-7
NP_060132.3	NM_017662.4	TRPM6_HUMAN	Q9BX84-1
NP_001170782.1	NM_001177311.1	TRPM6_HUMAN	Q9BX84-3
NP_001170781.1	NM_001177310.1	TRPM6_HUMAN	Q9BX84-2
NP_000359.1	NM_000368.4	TSC1_HUMAN	Q92574-1
NP_001155898.1	NM_001162426.1	TSC1_HUMAN	Q92574-1
XP_005272268.1	XM_005272211.1	TSC1_HUMAN	Q92574-1
XP_006717334.1	XM_006717271.1	TSC1_HUMAN	Q92574-1
XP_011517281.1	XM_011518979.2	TSC1_HUMAN	Q92574-1
XP_016870585.1	XM_017015096.1	TSC1_HUMAN	Q92574-1
XP_016870586.1	XM_017015097.1	TSC1_HUMAN	Q92574-1
NP_001155899.1	NM_001162427.1	TSC1_HUMAN	Q92574-2
NP_065907.2	NM_020856.3	TSH3_HUMAN	Q63HK5-1
NP_001245139.1	NM_001258210.1	TSK_HUMAN	Q8WUA8-1
NP_001305406.1	NM_001318477.1	TSK_HUMAN	Q8WUA8-1
NP_001305407.1	NM_001318478.1	TSK_HUMAN	Q8WUA8-1
NP_001305408.1	NM_001318479.1	TSK_HUMAN	Q8WUA8-1
NP_056331.2	NM_015516.3	TSK_HUMAN	Q8WUA8-1
NP_060598.3	NM_018128.4	TSR1_HUMAN	Q2NL82-1
NP_114417.1	NM_032028.3	TSSK1_HUMAN	Q9BXA7-1
NP_001182060.1	NM_001195131.1	TSTD3_HUMAN	H0UI37-1
XP_016865630.1	XM_017010141.1	TSTD3_HUMAN	H0UI37-1
NP_665698.2	NM_145755.2	TT21A_HUMAN	Q8NDW8-1
NP_001098983.2	NM_001105513.2	TT21A_HUMAN	Q8NDW8-6
NP_001305462.1	NM_001318533.1	TTC12_HUMAN	Q9H892-1
NP_060338.3	NM_017868.3	TTC12_HUMAN	Q9H892-1
NP_001275710.1	NM_001288781.1	TTC8_HUMAN	Q8TAM2-1
NP_001275711.1	NM_001288782.1	TTC8_HUMAN	Q8TAM2-1
NP_001275712.1	NM_001288783.1	TTC8_HUMAN	Q8TAM2-1
NP_938051.1	NM_198309.3	TTC8_HUMAN	Q8TAM2-1
NP_938052.1	NM_198310.3	TTC8_HUMAN	Q8TAM2-1
XP_006720098.1	XM_006720035.1	TTC8_HUMAN	Q8TAM2-1
XP_006720100.1	XM_006720037.2	TTC8_HUMAN	Q8TAM2-1
XP_011534734.1	XM_011536432.1	TTC8_HUMAN	Q8TAM2-1
NP_653197.2	NM_144596.3	TTC8_HUMAN	Q8TAM2-4
NP_001192225.1	NM_001205296.1	TTF1_HUMAN	Q15361-1
NP_031370.2	NM_007344.3	TTF1_HUMAN	Q15361-1
XP_006717336.2	XM_006717273.3	TTF1_HUMAN	Q15361-1
NP_001290386.1	NM_001303457.1	TTI1_HUMAN	O43156-1
NP_055472.1	NM_014657.2	TTI1_HUMAN	O43156-1
NP_036395.1	NM_012263.4	TTLL1_HUMAN	O95922-1
XP_011528410.1	XM_011530108.2	TTLL1_HUMAN	O95922-1
XP_016884240.1	XM_017028751.1	TTLL1_HUMAN	O95922-1
XP_016884241.1	XM_017028752.1	TTLL1_HUMAN	O95922-1
XP_016884242.1	XM_017028753.1	TTLL1_HUMAN	O95922-1
NP_003398.2	NM_003407.3	TTP_HUMAN	P26651-1
NP_065710.1	NM_020659.3	TTYH1_HUMAN	Q9H313-1
NP_001005367.1	NM_001005367.2	TTYH1_HUMAN	Q9H313-3
NP_001188390.1	NM_001201461.1	TTYH1_HUMAN	Q9H313-2
NP_079526.1	NM_025250.2	TTYH3_HUMAN	Q9C0H2-1
XP_016868145.1	XM_017012656.1	TTYH3_HUMAN	Q9C0H2-2
XP_011513837.1	XM_011515535.2	TTYH3_HUMAN	Q9C0H2-4
NP_003314.2	NM_003323.2	TULP2_HUMAN	O00295-1
NP_064630.2	NM_020245.4	TULP4_HUMAN	Q9NRJ4-1
XP_016866558.1	XM_017011069.1	TULP4_HUMAN	Q9NRJ4-1
XP_016866559.1	XM_017011070.1	TULP4_HUMAN	Q9NRJ4-1
NP_001007467.1	NM_001007466.2	TULP4_HUMAN	Q9NRJ4-2
XP_016866560.1	XM_017011071.1	TULP4_HUMAN	Q9NRJ4-2
NP_001264214.1	NM_001277285.1	TUTLB_HUMAN	Q9UPX0-2
NP_112563.1	NM_031273.2	TX13B_HUMAN	Q9BXU2-1
NP_001135789.1	NM_001142317.1	TXN4B_HUMAN	Q9NX01-1
NP_001135790.1	NM_001142318.1	TXN4B_HUMAN	Q9NX01-1
NP_060323.1	NM_017853.2	TXN4B_HUMAN	Q9NX01-1
NP_001091999.1	NM_001098529.1	TXND2_HUMAN	Q86VQ3-1
NP_115619.4	NM_032243.5	TXND2_HUMAN	Q86VQ3-2
XP_016881530.1	XM_017026041.1	TXND2_HUMAN	Q86VQ3-2
NP_835231.1	NM_178130.3	TXND6_HUMAN	Q86XW9-2
NP_004777.1	NM_004786.2	TXNL1_HUMAN	O43396-1
XP_016881582.1	XM_017026093.1	TXNL1_HUMAN	O43396-1
NP_954986.2	NM_199292.2	TY3H_HUMAN	P07101-1
NP_000351.2	NM_000360.3	TY3H_HUMAN	P07101-3
NP_954987.2	NM_199293.2	TY3H_HUMAN	P07101-2
XP_011518637.1	XM_011520335.2	TY3H_HUMAN	P07101-4
NP_003322.3	NM_003331.4	TYK2_HUMAN	P29597-1
XP_011526547.1	XM_011528245.1	TYK2_HUMAN	P29597-1
NP_001107227.1	NM_001113755.2	TYPH_HUMAN	P19971-1
NP_001107228.1	NM_001113756.2	TYPH_HUMAN	P19971-1
NP_001244917.1	NM_001257988.1	TYPH_HUMAN	P19971-1
NP_001944.1	NM_001953.4	TYPH_HUMAN	P19971-1
NP_001244918.1	NM_001257989.1	TYPH_HUMAN	P19971-2
NP_000363.1	NM_000372.4	TYRO_HUMAN	P14679-1
NP_000541.1	NM_000550.2	TYRP1_HUMAN	P17643-1
NP_001062.1	NM_001071.2	TYSY_HUMAN	P04818-1
NP_055608.2	NM_014793.4	TYW4_HUMAN	O60294-1
NP_001034782.1	NM_001039693.2	TYW5_HUMAN	A2RUC4-1
NP_003394.1	NM_003403.4	TYY1_HUMAN	P25490-1
NP_001074002.1	NM_001080533.2	U119B_HUMAN	A6NIH7-1
NP_001229258.1	NM_001242329.1	U17L5_HUMAN	A8MUK1-1
NP_001243788.1	NM_001256859.1	U17LI_HUMAN	D6R9N7-1
NP_001307575.1	NM_001320646.1	U2AF5_HUMAN	P0DN76-1
NP_006749.1	NM_006758.2	U2AF5_HUMAN	P0DN76-1
